450,4110,12:32:37.950686
447,3946,12:32:37.959613
444,3854,12:32:37.968842
442,3835,12:32:37.980819
440,3922,12:32:37.988700
440,3984,12:32:37.999052
442,3919,12:32:38.008602
442,3409,12:32:38.020361
444,3783,12:32:38.031253
446,3840,12:32:38.038973
443,3607,12:32:38.050235
442,3643,12:32:38.060177
440,3620,12:32:38.069596
440,3682,12:32:38.080016
441,3647,12:32:38.089525
444,3625,12:32:38.100599
446,3628,12:32:38.109225
446,3658,12:32:38.120761
449,3824,12:32:38.130787
449,3576,12:32:38.139734
449,3519,12:32:38.151021
447,4009,12:32:38.160713
443,4137,12:32:38.170074
442,3942,12:32:38.180631
441,4058,12:32:38.191114
441,4034,12:32:38.200507
441,3999,12:32:38.210914
441,3781,12:32:38.220318
442,3981,12:32:38.230631
444,4083,12:32:38.241207
444,4018,12:32:38.251627
444,3970,12:32:38.260769
444,3946,12:32:38.271385
443,4147,12:32:38.280822
444,4081,12:32:38.292112
443,4073,12:32:38.301880
441,3997,12:32:38.310730
441,3975,12:32:38.321573
445,4141,12:32:38.330691
445,3907,12:32:38.342502
445,3992,12:32:38.351860
447,4011,12:32:38.362448
446,3941,12:32:38.371939
443,3931,12:32:38.381002
446,4045,12:32:38.392816
446,4147,12:32:38.402834
448,4034,12:32:38.412541
446,3894,12:32:38.423041
444,4094,12:32:38.433088
443,4059,12:32:38.441889
443,4007,12:32:38.453165
443,4170,12:32:38.462866
440,4076,12:32:38.473233
443,3941,12:32:38.482674
441,4067,12:32:38.492130
443,4212,12:32:38.502717
444,4046,12:32:38.512082
445,4085,12:32:38.523490
444,4092,12:32:38.533149
445,4192,12:32:38.542580
447,4087,12:32:38.553831
447,4034,12:32:38.571609
445,4041,12:32:38.583468
444,3993,12:32:38.592748
444,4019,12:32:38.603336
446,4209,12:32:38.613674
445,3973,12:32:38.624056
445,4242,12:32:38.633940
449,4185,12:32:38.644122
447,3907,12:32:38.653524
447,3945,12:32:38.663935
447,4140,12:32:38.673236
445,4064,12:32:38.684459
445,4160,12:32:38.693130
442,4144,12:32:38.704486
444,4110,12:32:38.713959
444,4350,12:32:38.724487
441,4120,12:32:38.733808
441,4009,12:32:38.744176
444,3916,12:32:38.754886
444,4163,12:32:38.765293
442,4085,12:32:38.774689
447,4251,12:32:38.783935
442,3939,12:32:38.795435
443,3921,12:32:38.805075
443,4033,12:32:38.815636
446,3974,12:32:38.825756
442,4143,12:32:38.834348
440,3899,12:32:38.844746
445,4160,12:32:38.855781
445,4117,12:32:38.865894
444,4115,12:32:38.875996
444,4024,12:32:38.885724
443,4011,12:32:38.895108
443,4148,12:32:38.906387
443,4144,12:32:38.916018
439,4078,12:32:38.925463
440,3988,12:32:38.934935
441,4204,12:32:38.945237
441,4316,12:32:38.956656
440,4073,12:32:38.973546
442,4178,12:32:38.977555
442,4114,12:32:38.985131
442,4053,12:32:38.995446
442,4097,12:32:39.006596
443,4002,12:32:39.015304
443,3974,12:32:39.025507
443,4123,12:32:39.036322
438,3756,12:32:39.046902
441,4001,12:32:39.057138
442,4282,12:32:39.066616
441,4131,12:32:39.077209
441,3963,12:32:39.086458
441,4024,12:32:39.096825
443,3984,12:32:39.107346
437,2486,12:32:39.117229
456,1317,12:32:39.126159
456,1620,12:32:39.136755
453,3611,12:32:39.146196
440,4102,12:32:39.156563
441,4153,12:32:39.167103
438,4183,12:32:39.176437
442,4154,12:32:39.187740
440,4282,12:32:39.196422
439,4024,12:32:39.208067
442,4127,12:32:39.217164
440,4104,12:32:39.226609
439,4200,12:32:39.236950
436,4022,12:32:39.248459
437,4003,12:32:39.258255
439,4157,12:32:39.268673
436,4223,12:32:39.278521
439,4158,12:32:39.289158
440,4248,12:32:39.298849
439,4154,12:32:39.307212
438,4112,12:32:39.318868
436,4070,12:32:39.328978
436,4150,12:32:39.338693
436,4085,12:32:39.349089
